time,open,high,low,close,tick_volume,spread,real_volume
2025-06-30 21:00:00,3294.04,3298.31,3292.61,3297.44,1403,27,0
2025-06-30 21:15:00,3297.35,3299.19,3297.08,3299.09,1471,27,0
2025-06-30 21:30:00,3299.11,3299.52,3298.09,3299.07,903,27,0
2025-06-30 21:45:00,3299.13,3299.28,3297.54,3298.47,1236,27,0
2025-06-30 22:00:00,3298.57,3303.51,3298.04,3303.09,1534,27,0
2025-06-30 22:15:00,3303.08,3307.05,3303.02,3306.12,1929,27,0
2025-06-30 22:30:00,3306.06,3307.93,3305.74,3305.84,1256,27,0
2025-06-30 22:45:00,3305.95,3309.46,3305.25,3308.6,2423,27,0
2025-06-30 23:00:00,3308.64,3308.83,3307.1,3307.32,873,26,0
2025-06-30 23:15:00,3307.3,3309.26,3306.76,3306.79,708,26,0
2025-06-30 23:30:00,3306.82,3307.22,3303.66,3304.05,744,26,0
2025-06-30 23:45:00,3304.06,3304.39,3302.2,3302.72,679,31,0
2025-07-01 01:00:00,3303.47,3305.04,3302.36,3304.28,702,28,0
2025-07-01 01:15:00,3304.26,3307.79,3304.02,3307.2,472,28,0
2025-07-01 01:30:00,3307.24,3309.12,3305.91,3308.95,644,28,0
2025-07-01 01:45:00,3308.92,3314.55,3307.49,3311.5,1307,28,0
2025-07-01 02:00:00,3311.52,3312.26,3309.95,3311.85,853,28,0
2025-07-01 02:15:00,3311.89,3312.19,3308.59,3309.57,760,28,0
2025-07-01 02:30:00,3309.32,3311.14,3308.84,3310.73,742,28,0
2025-07-01 02:45:00,3310.68,3312.46,3310.17,3312.44,652,28,0
2025-07-01 03:00:00,3312.35,3313.27,3309.85,3312.27,1295,28,0
2025-07-01 03:15:00,3312.28,3312.71,3310.32,3310.87,734,28,0
2025-07-01 03:30:00,3310.96,3313.21,3310.85,3311.51,771,28,0
2025-07-01 03:45:00,3311.61,3314.89,3311.31,3314.75,1083,28,0
2025-07-01 04:00:00,3314.58,3318.96,3313.9,3318.8,1892,31,0
2025-07-01 04:15:00,3318.81,3320.85,3318.13,3320.29,1847,28,0
2025-07-01 04:30:00,3320.27,3320.99,3316.05,3319.77,2195,28,0
2025-07-01 04:45:00,3319.76,3320.57,3315.75,3317.82,1861,28,0
2025-07-01 05:00:00,3317.78,3317.92,3315.55,3316.11,1616,28,0
2025-07-01 05:15:00,3316.07,3317.38,3314.4,3316.04,1120,28,0
2025-07-01 05:30:00,3316.14,3319.21,3315.15,3318.01,1864,28,0
2025-07-01 05:45:00,3317.97,3319.3,3316.01,3316.11,1176,28,0
2025-07-01 06:00:00,3316.02,3318.33,3315.78,3317.26,1078,28,0
2025-07-01 06:15:00,3317.29,3321.98,3316.84,3321.03,1310,28,0
2025-07-01 06:30:00,3321.04,3321.75,3318.06,3321.66,1083,28,0
2025-07-01 06:45:00,3321.64,3322.63,3319.88,3321.06,914,28,0
2025-07-01 07:00:00,3321.03,3322.57,3318.9,3321.41,1032,28,0
2025-07-01 07:15:00,3321.4,3323.08,3321.16,3322.71,871,28,0
2025-07-01 07:30:00,3322.67,3323.0,3321.95,3322.76,641,28,0
2025-07-01 07:45:00,3322.81,3323.03,3321.97,3322.91,562,28,0
2025-07-01 08:00:00,3322.89,3328.65,3322.89,3328.36,1307,31,0
2025-07-01 08:15:00,3328.25,3330.04,3327.65,3329.49,962,28,0
2025-07-01 08:30:00,3329.49,3332.34,3328.58,3330.03,1940,30,0
2025-07-01 08:45:00,3330.08,3331.3,3327.98,3328.7,1799,28,0
2025-07-01 09:00:00,3328.69,3330.6,3326.69,3327.96,1721,28,0
