time,Open,High,Low,Close,Volume
2025-07-31 21:00:00,3295.04,3295.11,3292.78,3294.53,1536
2025-07-31 21:15:00,3294.49,3297.12,3293.62,3296.55,2017
2025-07-31 21:30:00,3296.53,3296.65,3294.5,3295.37,1788
2025-07-31 21:45:00,3295.34,3296.3,3294.95,3295.74,1715
2025-07-31 22:00:00,3295.75,3296.36,3294.57,3294.65,1392
2025-07-31 22:15:00,3294.66,3294.69,3290.5,3291.05,2030
2025-07-31 22:30:00,3291.02,3294.64,3290.88,3294.5,2050
2025-07-31 22:45:00,3294.51,3294.87,3290.55,3290.99,3526
2025-07-31 23:00:00,3290.93,3293.7,3290.86,3292.53,1507
2025-07-31 23:15:00,3292.51,3292.51,3290.8,3291.88,834
2025-07-31 23:30:00,3291.71,3292.09,3290.73,3291.79,604
2025-07-31 23:45:00,3291.84,3291.84,3289.84,3289.86,649
2025-08-01 01:00:00,3290.54,3292.7,3288.93,3291.33,1005
2025-08-01 01:15:00,3291.31,3293.8,3291.06,3293.38,627
2025-08-01 01:30:00,3293.39,3294.24,3292.76,3294.09,456
2025-08-01 01:45:00,3294.03,3295.24,3293.53,3295.02,507
2025-08-01 02:00:00,3295.07,3295.14,3290.41,3290.66,1155
2025-08-01 02:15:00,3290.64,3292.39,3288.34,3292.29,990
2025-08-01 02:30:00,3292.18,3292.38,3289.94,3291.55,600
2025-08-01 02:45:00,3291.61,3291.82,3288.06,3288.59,703
2025-08-01 03:00:00,3288.57,3289.17,3286.68,3288.46,1509
2025-08-01 03:15:00,3288.41,3290.05,3286.35,3288.56,1279
2025-08-01 03:30:00,3288.53,3293.77,3288.11,3292.84,1435
2025-08-01 03:45:00,3292.91,3293.09,3289.64,3290.26,1668
2025-08-01 04:00:00,3290.24,3293.61,3289.99,3291.93,2365
2025-08-01 04:15:00,3291.88,3293.16,3288.8,3290.34,1742
2025-08-01 04:30:00,3290.36,3291.68,3286.01,3287.9,2041
2025-08-01 04:45:00,3287.99,3288.38,3281.63,3283.72,2318
2025-08-01 05:00:00,3283.48,3291.09,3283.36,3290.98,2578
2025-08-01 05:15:00,3291.03,3291.16,3287.88,3289.47,1375
2025-08-01 05:30:00,3289.6,3290.13,3287.1,3289.39,1723
2025-08-01 05:45:00,3289.42,3292.46,3288.09,3291.78,1559
2025-08-01 06:00:00,3291.79,3297.11,3291.76,3295.96,2093
2025-08-01 06:15:00,3295.95,3296.3,3291.46,3292.6,1302
2025-08-01 06:30:00,3292.55,3293.06,3291.46,3291.97,1365
2025-08-01 06:45:00,3292.04,3293.26,3290.54,3291.37,1133
2025-08-01 07:00:00,3291.45,3293.92,3290.38,3291.45,1508
2025-08-01 07:15:00,3291.47,3293.31,3291.01,3292.76,1083
2025-08-01 07:30:00,3292.76,3295.53,3291.75,3291.91,1171
2025-08-01 07:45:00,3291.94,3292.48,3290.06,3292.11,1443
2025-08-01 08:00:00,3292.1,3294.56,3291.84,3292.55,1225
2025-08-01 08:15:00,3292.56,3294.31,3291.76,3293.14,753
2025-08-01 08:30:00,3293.2,3295.5,3292.61,3295.37,1185
2025-08-01 08:45:00,3295.47,3300.45,3294.87,3296.66,2232
2025-08-01 09:00:00,3296.68,3297.67,3294.97,3295.01,1733
2025-08-01 09:15:00,3294.97,3296.09,3291.72,3292.14,2318
2025-08-01 09:30:00,3292.13,3293.14,3290.59,3291.57,1870
2025-08-01 09:45:00,3291.47,3292.44,3290.69,3292.4,1137
2025-08-01 10:00:00,3292.42,3292.8,3289.57,3292.54,1626
2025-08-01 10:15:00,3292.23,3293.43,3289.78,3290.86,1737
2025-08-01 10:30:00,3290.87,3291.03,3285.71,3287.39,2007
2025-08-01 10:45:00,3287.41,3289.63,3285.23,3286.86,1744
2025-08-01 11:00:00,3286.76,3288.82,3285.35,3287.84,1618
2025-08-01 11:15:00,3287.83,3289.64,3286.56,3288.04,1316
2025-08-01 11:30:00,3288.05,3290.03,3286.7,3289.36,1196
2025-08-01 11:45:00,3289.44,3294.49,3289.1,3294.29,1467
2025-08-01 12:00:00,3294.32,3295.55,3293.13,3295.17,1410
2025-08-01 12:15:00,3295.31,3296.33,3293.75,3294.35,1170
2025-08-01 12:30:00,3294.36,3295.77,3292.87,3295.73,1788
2025-08-01 12:45:00,3295.71,3296.39,3292.78,3294.48,1297
2025-08-01 13:00:00,3294.54,3296.36,3294.12,3294.65,1148
2025-08-01 13:15:00,3294.7,3295.09,3293.51,3293.98,817
2025-08-01 13:30:00,3294.02,3298.03,3293.32,3295.82,1286
2025-08-01 13:45:00,3295.81,3303.13,3294.9,3298.29,2241
2025-08-01 14:00:00,3298.29,3301.3,3298.29,3300.74,1553
2025-08-01 14:15:00,3300.73,3301.41,3298.84,3299.93,1477
2025-08-01 14:30:00,3299.93,3301.41,3298.78,3299.47,1284
2025-08-01 14:45:00,3299.46,3300.48,3296.89,3300.37,1467
2025-08-01 15:00:00,3300.39,3301.26,3297.48,3300.96,1706
2025-08-01 15:15:00,3300.93,3304.18,3300.47,3301.45,3153
2025-08-01 15:30:00,3301.46,3340.92,3301.46,3339.19,22328
2025-08-01 15:45:00,3339.13,3345.24,3335.5,3341.33,9917
2025-08-01 16:00:00,3341.36,3351.1,3339.57,3351.07,9619
2025-08-01 16:15:00,3350.95,3354.77,3349.18,3351.83,7907
2025-08-01 16:30:00,3351.68,3353.38,3342.12,3347.99,10608
2025-08-01 16:45:00,3347.96,3350.06,3338.89,3342.05,7875
2025-08-01 17:00:00,3342.1,3351.62,3342.1,3348.94,9836
2025-08-01 17:15:00,3348.92,3355.15,3345.34,3346.21,7589
2025-08-01 17:30:00,3345.96,3346.73,3341.39,3344.98,6884
2025-08-01 17:45:00,3344.92,3347.82,3341.34,3345.93,5104
2025-08-01 18:00:00,3345.95,3350.6,3341.57,3349.31,5392
2025-08-01 18:15:00,3349.26,3350.95,3348.67,3349.57,4445
2025-08-01 18:30:00,3349.6,3351.24,3346.93,3348.8,3984
2025-08-01 18:45:00,3348.81,3350.62,3347.22,3348.6,2927
2025-08-01 19:00:00,3348.5,3349.48,3344.29,3345.56,2933
2025-08-01 19:15:00,3345.55,3346.22,3340.63,3341.21,3935
2025-08-01 19:30:00,3341.23,3343.63,3340.56,3342.55,2821
2025-08-01 19:45:00,3342.57,3348.79,3341.08,3347.32,3147
2025-08-01 20:00:00,3347.33,3349.51,3346.6,3346.61,3236
2025-08-01 20:15:00,3346.62,3349.22,3345.6,3347.46,2911
2025-08-01 20:30:00,3347.36,3349.28,3346.87,3347.98,2399
2025-08-01 20:45:00,3347.93,3348.66,3347.09,3348.3,1791
2025-08-01 21:00:00,3348.34,3349.88,3345.94,3348.23,1990
2025-08-01 21:15:00,3348.22,3349.44,3346.35,3349.23,2270
2025-08-01 21:30:00,3349.22,3351.15,3348.08,3350.81,1696
2025-08-01 21:45:00,3350.8,3351.31,3347.44,3347.58,1905
2025-08-01 22:00:00,3347.6,3349.85,3347.6,3349.21,1598
2025-08-01 22:15:00,3349.21,3351.15,3348.51,3351.03,1691
2025-08-01 22:30:00,3351.04,3361.02,3350.88,3360.27,5068
2025-08-01 22:45:00,3360.29,3361.28,3356.5,3357.19,3600
2025-08-01 23:00:00,3357.23,3360.25,3357.03,3360.12,1678
2025-08-01 23:15:00,3360.14,3360.91,3359.72,3360.37,724
2025-08-01 23:30:00,3360.42,3362.73,3360.36,3362.61,1104
2025-08-01 23:45:00,3362.59,3363.44,3361.71,3362.85,1595
2025-08-04 01:00:00,3365.62,3369.27,3360.23,3360.42,3317
2025-08-04 01:15:00,3360.59,3361.66,3359.12,3360.67,1022
2025-08-04 01:30:00,3360.69,3360.81,3357.67,3360.06,950
2025-08-04 01:45:00,3359.88,3360.18,3358.22,3359.19,707
2025-08-04 02:00:00,3359.29,3359.45,3357.93,3358.39,710
2025-08-04 02:15:00,3358.43,3358.43,3354.57,3356.05,848
2025-08-04 02:30:00,3356.09,3358.87,3356.01,3357.78,742
2025-08-04 02:45:00,3357.64,3361.99,3357.56,3361.99,1387
2025-08-04 03:00:00,3361.92,3362.34,3356.09,3356.26,1873
2025-08-04 03:15:00,3356.28,3356.91,3354.5,3355.55,1305
2025-08-04 03:30:00,3355.5,3355.56,3351.82,3352.34,1880
2025-08-04 03:45:00,3352.36,3353.09,3350.25,3352.21,1806
2025-08-04 04:00:00,3352.19,3353.63,3349.47,3349.67,2507
2025-08-04 04:15:00,3349.65,3351.3,3345.0,3347.58,2697
2025-08-04 04:30:00,3347.56,3350.35,3346.71,3349.19,2776
2025-08-04 04:45:00,3349.17,3353.22,3348.91,3352.22,1638
2025-08-04 05:00:00,3352.2,3352.76,3350.19,3351.15,1575
2025-08-04 05:15:00,3351.06,3355.25,3350.97,3354.01,1246
2025-08-04 05:30:00,3353.98,3354.03,3352.08,3353.48,1209
2025-08-04 05:45:00,3353.45,3354.78,3352.61,3354.28,1444
2025-08-04 06:00:00,3354.31,3357.73,3354.29,3355.85,1822
2025-08-04 06:15:00,3355.87,3357.47,3354.41,3356.89,1175
2025-08-04 06:30:00,3356.77,3358.18,3355.53,3357.86,1146
2025-08-04 06:45:00,3357.84,3360.86,3357.76,3360.3,1465
2025-08-04 07:00:00,3360.28,3361.05,3360.01,3361.02,778
2025-08-04 07:15:00,3361.01,3361.45,3360.36,3360.88,845
2025-08-04 07:30:00,3360.86,3362.11,3359.64,3360.63,1111
2025-08-04 07:45:00,3360.62,3361.07,3358.73,3358.87,964
2025-08-04 08:00:00,3359.05,3360.94,3358.79,3359.89,918
2025-08-04 08:15:00,3359.85,3360.72,3358.1,3358.82,1152
2025-08-04 08:30:00,3358.81,3359.44,3355.47,3356.79,1133
2025-08-04 08:45:00,3356.81,3357.89,3356.09,3357.54,1278
2025-08-04 09:00:00,3357.55,3360.92,3355.56,3359.13,2037
2025-08-04 09:15:00,3359.06,3359.32,3353.6,3353.72,1590
2025-08-04 09:30:00,3353.73,3360.72,3353.72,3360.09,3510
2025-08-04 09:45:00,3360.12,3362.66,3359.92,3362.66,1483
2025-08-04 10:00:00,3362.59,3362.65,3359.02,3361.26,2176
2025-08-04 10:15:00,3361.21,3361.53,3353.26,3353.79,2058
2025-08-04 10:30:00,3353.75,3356.56,3351.73,3354.9,2310
2025-08-04 10:45:00,3354.92,3356.21,3353.56,3355.82,1609
2025-08-04 11:00:00,3355.93,3357.12,3354.1,3356.41,1850
2025-08-04 11:15:00,3356.45,3359.87,3356.28,3358.92,1481
2025-08-04 11:30:00,3358.85,3359.32,3356.96,3358.4,1589
2025-08-04 11:45:00,3358.36,3359.8,3358.0,3358.48,1223
2025-08-04 12:00:00,3358.43,3361.1,3358.15,3359.24,1403
2025-08-04 12:15:00,3359.15,3361.83,3357.92,3361.07,1295
2025-08-04 12:30:00,3361.09,3361.22,3357.74,3359.35,1581
2025-08-04 12:45:00,3359.39,3359.61,3356.91,3357.99,1067
2025-08-04 13:00:00,3357.98,3358.87,3356.79,3358.1,1392
2025-08-04 13:15:00,3358.05,3358.42,3352.96,3356.4,1562
2025-08-04 13:30:00,3356.41,3358.44,3356.17,3358.17,1223
2025-08-04 13:45:00,3358.05,3358.44,3356.96,3357.85,1318
2025-08-04 14:00:00,3357.89,3364.6,3357.72,3363.8,2514
2025-08-04 14:15:00,3363.78,3368.21,3363.78,3367.74,1937
2025-08-04 14:30:00,3367.76,3368.38,3365.66,3368.24,1757
2025-08-04 14:45:00,3368.22,3370.73,3367.71,3370.34,2104
2025-08-04 15:00:00,3370.51,3371.49,3366.96,3367.12,2485
2025-08-04 15:15:00,3367.08,3368.7,3363.73,3363.83,2875
2025-08-04 15:30:00,3363.85,3364.61,3361.06,3363.16,3206
2025-08-04 15:45:00,3363.21,3368.98,3363.04,3367.87,2300
